tile,x,y
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_0_0,78,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_1_0,234,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_2_0,390,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_3_0,546,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_4_0,702,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_5_0,858,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_6_0,1014,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_7_0,1170,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_8_0,1326,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_9_0,1482,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_10_0,1638,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_11_0,1794,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_12_0,1950,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_13_0,2106,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_14_0,2262,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_15_0,2418,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_16_0,2574,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_17_0,2730,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_18_0,2886,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_19_0,3042,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_20_0,3198,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_21_0,3354,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_22_0,3510,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_23_0,3666,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_24_0,3822,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_25_0,3978,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_26_0,4134,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_27_0,4290,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_28_0,4446,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_29_0,4602,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_30_0,4758,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_31_0,4914,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_32_0,5070,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_33_0,5226,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_34_0,5382,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_35_0,5538,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_36_0,5694,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_37_0,5850,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_38_0,6006,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_39_0,6162,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_40_0,6318,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_41_0,6474,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_42_0,6630,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_43_0,6786,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_44_0,6942,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_45_0,7098,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_46_0,7254,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_47_0,7410,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_48_0,7566,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_49_0,7722,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_50_0,7878,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_51_0,8034,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_52_0,8190,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_53_0,8346,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_54_0,8502,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_55_0,8658,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_56_0,8814,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_57_0,8970,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_58_0,9126,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_59_0,9282,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_60_0,9438,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_61_0,9594,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_62_0,9750,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_63_0,9906,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_64_0,10062,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_65_0,10218,78
C:\Users\jlehm\Documents\Master thesis\CRC_ST\p025\Tiles\p025_66_0,10374,78
