tile,RUBCNL,x,y,path
p021_14_0.tiff,0.3026730885892725,2262,78,../../Test_Data/p021/Tiles_156/p021_14_0.tiff
p021_15_0.tiff,1.2669978956188055,2418,78,../../Test_Data/p021/Tiles_156/p021_15_0.tiff
p021_16_0.tiff,1.095556068498453,2574,78,../../Test_Data/p021/Tiles_156/p021_16_0.tiff
p021_17_0.tiff,2.2970373571537492,2730,78,../../Test_Data/p021/Tiles_156/p021_17_0.tiff
p021_18_0.tiff,1.94510281319934,2886,78,../../Test_Data/p021/Tiles_156/p021_18_0.tiff
p021_19_0.tiff,0.3026730885892725,3042,78,../../Test_Data/p021/Tiles_156/p021_19_0.tiff
p021_20_0.tiff,1.4145297479137957,3198,78,../../Test_Data/p021/Tiles_156/p021_20_0.tiff
p021_21_0.tiff,0.6370996606158447,3354,78,../../Test_Data/p021/Tiles_156/p021_21_0.tiff
p021_22_0.tiff,1.8581491805384545,3510,78,../../Test_Data/p021/Tiles_156/p021_22_0.tiff
p021_23_0.tiff,-0.1887050178058359,3666,78,../../Test_Data/p021/Tiles_156/p021_23_0.tiff
p021_3_1.tiff,-1.1332518658128865,546,234,../../Test_Data/p021/Tiles_156/p021_3_1.tiff
p021_12_1.tiff,0.8909265929110052,1950,234,../../Test_Data/p021/Tiles_156/p021_12_1.tiff
p021_13_1.tiff,1.6593831118122166,2106,234,../../Test_Data/p021/Tiles_156/p021_13_1.tiff
p021_14_1.tiff,1.6593831118122166,2262,234,../../Test_Data/p021/Tiles_156/p021_14_1.tiff
p021_15_1.tiff,-0.1887050178058359,2418,234,../../Test_Data/p021/Tiles_156/p021_15_1.tiff
p021_16_1.tiff,0.3026730885892725,2574,234,../../Test_Data/p021/Tiles_156/p021_16_1.tiff
p021_17_1.tiff,2.1699238915866315,2730,234,../../Test_Data/p021/Tiles_156/p021_17_1.tiff
p021_18_1.tiff,1.2669978956188055,2886,234,../../Test_Data/p021/Tiles_156/p021_18_1.tiff
p021_19_1.tiff,1.4145297479137957,3042,234,../../Test_Data/p021/Tiles_156/p021_19_1.tiff
p021_20_1.tiff,0.6370996606158447,3198,234,../../Test_Data/p021/Tiles_156/p021_20_1.tiff
p021_21_1.tiff,1.4145297479137957,3354,234,../../Test_Data/p021/Tiles_156/p021_21_1.tiff
p021_22_1.tiff,1.8581491805384545,3510,234,../../Test_Data/p021/Tiles_156/p021_22_1.tiff
p021_23_1.tiff,2.1001515103867976,3666,234,../../Test_Data/p021/Tiles_156/p021_23_1.tiff
p021_24_1.tiff,1.5440118736941029,3822,234,../../Test_Data/p021/Tiles_156/p021_24_1.tiff
p021_25_1.tiff,1.095556068498453,3978,234,../../Test_Data/p021/Tiles_156/p021_25_1.tiff
p021_11_2.tiff,-1.1332518658128865,1794,390,../../Test_Data/p021/Tiles_156/p021_11_2.tiff
p021_12_2.tiff,0.6370996606158447,1950,390,../../Test_Data/p021/Tiles_156/p021_12_2.tiff
p021_13_2.tiff,-0.1887050178058359,2106,390,../../Test_Data/p021/Tiles_156/p021_13_2.tiff
