,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tile,RUBCNL,x,y,path,../models/res50/RUBCNL_HLR_Res50slim/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_ice/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_optim_ice/RUBCNL_HLR_Res50slim_optim_ice15072024_ep_26_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50_Drop/24072024_ep_29_lr_0.0005resnet.pt,../models/res18/res18_iced_e29.pt,../models/res18/res18_not_iced_e29.pt,../remote_models/res50/RUBCNL_Res50/MyNet2_ep_29.pt,../remote_models/res50/RUBCNL_Res50_freeze/Res50Dropout_ep_29.pt,../remote_models/res50/RUBCNL_Res50_drop_freeze/Res50Dropout_ep_29.pt,../remote_models/vgg13/dropout/VGG13_ep_29.pt,../remote_models/res18/RUBCNL_Res18/Res18_ep_29.pt,../remote_models/res18/RUBCNL_Res18_freeze/Res18_ep_29.pt,../remote_models/res18/RUBCNL_Res18_ciga/Res18_ep_29.pt,../remote_models/res18/RUBCNL_Res18_ciga_drop/Res18Dropout_ep_29.pt,../remote_models/res18/RUBCNL_Res18_ciga_freeze_drop/Res18Dropout_ep_29.pt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p025_5_0.tiff,-0.7919016773158013,858,78,../../Training_Data/p025/Tiles_156/p025_5_0.tiff,-0.8444868922233582,-0.5513471364974976,-0.5301857590675354,-0.4244756996631622,-0.430773377418518,-0.5674967169761658,-0.2080812752246856,-0.4729772210121155,-0.4729772210121155,0.0004442653153091,-0.4529689848423004,-0.4529689848423004,-0.6832970380783081,-0.311296671628952,-0.311296671628952
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,p025_6_0.tiff,-0.7919016773158013,1014,78,../../Training_Data/p025/Tiles_156/p025_6_0.tiff,-0.863814115524292,-0.7768962383270264,-0.7131718993186951,-0.2213253229856491,-0.0772124379873275,-0.7154518961906433,0.3519790768623352,-0.2311115562915802,-0.2311115562915802,0.0004442653153091,-0.6144946813583374,-0.6144946813583374,-0.7299045324325562,-0.2990439236164093,-0.2990439236164093
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,p025_7_0.tiff,-0.7919016773158013,1170,78,../../Training_Data/p025/Tiles_156/p025_7_0.tiff,-0.789462149143219,-0.4973824024200439,-0.4046374559402466,-0.2001078724861145,-0.5981104969978333,-0.5417218804359436,-0.2484773248434066,-0.221021220088005,-0.221021220088005,0.0004442653153091,-0.324537068605423,-0.324537068605423,0.2909057140350342,0.0679793357849121,0.06797933578491211
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,p025_8_0.tiff,-0.1260612200404389,1326,78,../../Training_Data/p025/Tiles_156/p025_8_0.tiff,-0.3303306698799133,-0.4232538938522339,-0.3380513191223144,0.3899015188217163,-0.3988303542137146,-0.1996890902519226,0.0553644709289073,0.5035441517829895,0.5035441517829895,0.0004442653153091,-0.425645500421524,-0.425645500421524,0.921078085899353,-0.1279607862234115,-0.12796078622341156
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,p025_10_0.tiff,-0.7919016773158013,1638,78,../../Training_Data/p025/Tiles_156/p025_10_0.tiff,-0.8706554174423218,-0.3388047814369201,-0.3222206234931946,-0.0776706859469413,-0.6084802746772766,-0.6217204332351685,0.2147847861051559,-0.0745006874203682,-0.0745006874203682,0.0004442653153091,-0.5030286312103271,-0.5030286312103271,-0.1951978653669357,-0.2418143898248672,-0.24181438982486725
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,p025_11_0.tiff,-0.7919016773158013,1794,78,../../Training_Data/p025/Tiles_156/p025_11_0.tiff,-0.8747546672821045,-0.389404833316803,-0.4056910872459411,-0.3639650344848633,-0.5483635067939758,-0.7429654598236084,-0.1517220437526703,-0.3674159049987793,-0.3674159049987793,0.0004442653153091,-0.5052629113197327,-0.5052629113197327,-0.5490051507949829,-0.2424330562353134,-0.24243305623531342
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,p025_13_0.tiff,-0.7919016773158013,2106,78,../../Training_Data/p025/Tiles_156/p025_13_0.tiff,-0.7720327377319336,-0.3178747296333313,-0.2644922435283661,-0.1028516516089439,-0.0073303654789924,-0.5701066851615906,0.2724790871143341,-0.1355684697628021,-0.1355684697628021,0.0004442653153091,-0.0971327573060989,-0.0971327573060989,-0.6328334808349609,0.2246958762407302,0.22469587624073029
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,p025_15_0.tiff,-0.1260612200404389,2418,78,../../Training_Data/p025/Tiles_156/p025_15_0.tiff,-0.131794199347496,0.2969340085983276,0.2494494915008545,-0.0875914171338081,-0.0754242986440658,-0.3813549876213074,0.7577667832374573,-0.0646757408976554,-0.0646757408976554,0.0004442653153091,0.3827615678310394,0.3827615678310394,0.3476807475090027,0.3597902953624725,0.35979029536247253
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,p025_16_0.tiff,-0.7919016773158013,2574,78,../../Training_Data/p025/Tiles_156/p025_16_0.tiff,-0.8729236125946045,-0.580210268497467,-0.5653548836708069,0.1263468414545059,-0.652121365070343,-0.738974392414093,0.3562556803226471,0.1991996020078659,0.1991996020078659,0.0004442653153091,-0.4749347269535064,-0.4749347269535064,0.0895262509584426,-0.1320138275623321,-0.13201382756233215
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,p025_17_0.tiff,-0.7919016773158013,2730,78,../../Training_Data/p025/Tiles_156/p025_17_0.tiff,-0.7558515071868896,-0.1137221306562423,-0.1018590480089187,0.2167507112026214,-0.4075738787651062,-0.6718297600746155,0.0289561562240123,0.3307037651538849,0.3307037651538849,0.0004442653153091,-0.3165983259677887,-0.3165983259677887,-0.5849193930625916,-0.0735781639814376,-0.07357816398143768
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,p025_18_0.tiff,0.2534952085715471,2886,78,../../Training_Data/p025/Tiles_156/p025_18_0.tiff,0.4394509494304657,-0.0476666316390037,-0.1353228390216827,0.228060632944107,-0.2000686675310135,-0.3815677762031555,-0.113166332244873,0.3372116088867187,0.3372116088867187,0.0004442653153091,-0.1992719322443008,-0.1992719322443008,-0.2210972607135772,0.2408200800418853,0.24082008004188538
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,p025_19_0.tiff,-0.7919016773158013,3042,78,../../Training_Data/p025/Tiles_156/p025_19_0.tiff,-0.7797675728797913,-0.3773334622383117,-0.3742366731166839,0.4000183343887329,-0.2322673052549362,-0.5699561834335327,0.7034436464309692,0.5623468160629272,0.5623468160629272,0.0004442653153091,0.40549436211586,0.40549436211586,0.5705407857894897,0.4170694649219513,0.4170694649219513
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,p025_20_0.tiff,0.2534952085715471,3198,78,../../Training_Data/p025/Tiles_156/p025_20_0.tiff,0.3434633016586303,-0.3905919790267944,-0.310012012720108,0.2956175506114959,0.3643031716346741,0.4842149317264557,0.5831183791160583,0.394252598285675,0.394252598285675,0.0004442653153091,-0.1743748784065246,-0.1743748784065246,0.7267208695411682,0.4201231598854065,0.4201231598854065
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,p025_21_0.tiff,-0.1260612200404389,3354,78,../../Training_Data/p025/Tiles_156/p025_21_0.tiff,-0.1186300739645958,-0.1271316260099411,-0.3802990019321441,0.290956974029541,0.0119927152991294,-0.3340763747692108,0.580859899520874,0.39638751745224,0.39638751745224,0.0004442653153091,-0.2379235178232193,-0.2379235178232193,1.0262601375579834,0.6250377297401428,0.6250377297401428
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,p025_22_0.tiff,-0.1260612200404389,3510,78,../../Training_Data/p025/Tiles_156/p025_22_0.tiff,-0.0709253922104835,-0.1052619665861129,-0.0940258726477623,0.3394736051559448,-0.4108664989471435,-0.5222706198692322,0.4997768700122833,0.4945711195468902,0.4945711195468902,0.0004442653153091,-0.2275411486625671,-0.2275411486625671,0.0875705704092979,0.3181804716587066,0.31818047165870667
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,p025_23_0.tiff,-0.7919016773158013,3666,78,../../Training_Data/p025/Tiles_156/p025_23_0.tiff,-0.750234067440033,-0.4102498292922973,-0.3714074194431305,0.093229703605175,-0.6573978066444397,-0.4238892495632171,0.0486580468714237,0.1476991176605224,0.1476991176605224,0.0004442653153091,-0.7474266290664673,-0.7474266290664673,0.2714917361736297,0.0206442717462778,0.02064427174627781
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,p025_24_0.tiff,-0.7919016773158013,3822,78,../../Training_Data/p025/Tiles_156/p025_24_0.tiff,-0.7576713562011719,-0.4170680046081543,-0.3596347272396087,0.203715443611145,-0.2044398337602615,-0.6331295967102051,0.5986262559890747,0.3344524502754211,0.3344524502754211,0.0004442653153091,-0.3512727916240692,-0.3512727916240692,0.4772229194641113,0.3494372069835663,0.3494372069835663
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,p025_29_0.tiff,-0.7919016773158013,4602,78,../../Training_Data/p025/Tiles_156/p025_29_0.tiff,-0.7120547294616699,-0.5152429342269897,-0.5503395199775696,-0.4603129625320434,-0.578968346118927,-0.7066813111305237,-0.8914851546287537,-0.4490987062454223,-0.4490987062454223,0.0004442653153091,-1.2583411931991575,-1.2583411931991575,-1.647764801979065,-0.6802646517753601,-0.6802646517753601
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,p025_32_0.tiff,-0.7919016773158013,5070,78,../../Training_Data/p025/Tiles_156/p025_32_0.tiff,-0.7707428932189941,-0.5731347799301147,-0.657148003578186,-0.4225072860717773,-0.5732999444007874,-0.6861956119537354,-0.2393219023942947,-0.4836359024047851,-0.4836359024047851,0.0004442653153091,-0.6592808961868286,-0.6592808961868286,0.0262829605489969,-0.1163849085569381,-0.11638490855693817
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,p025_33_0.tiff,-0.7919016773158013,5226,78,../../Training_Data/p025/Tiles_156/p025_33_0.tiff,-0.8093684911727905,-0.4935320615768432,-0.4360739588737488,-0.357140451669693,-0.4166617393493652,-0.7295364737510681,-0.5853077173233032,-0.4110412895679474,-0.4110412895679474,0.0004442653153091,-0.8131464123725891,-0.8131464123725891,-0.2895985841751098,-0.0346357934176921,-0.034635793417692184
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,p025_34_0.tiff,-0.7919016773158013,5382,78,../../Training_Data/p025/Tiles_156/p025_34_0.tiff,-0.6743960380554199,-0.1597373932600021,-0.1446874290704727,0.0610740035772323,-0.3349878191947937,-0.4701346158981323,0.360879898071289,0.1049698367714881,0.1049698367714881,0.0004442653153091,-0.7184786796569824,-0.7184786796569824,1.1551086902618408,0.3854441344738006,0.38544413447380066
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,p025_35_0.tiff,-0.7919016773158013,5538,78,../../Training_Data/p025/Tiles_156/p025_35_0.tiff,-0.7914640307426453,0.0122448354959487,0.0453455969691276,0.21022629737854,0.526298999786377,-0.4718880653381347,0.7662803530693054,0.2781699895858764,0.2781699895858764,0.0004442653153091,-0.3851065039634704,-0.3851065039634704,0.9832904934883118,0.5374082922935486,0.5374082922935486
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,p025_36_0.tiff,-0.7919016773158013,5694,78,../../Training_Data/p025/Tiles_156/p025_36_0.tiff,-0.8289206624031067,-0.854220986366272,-0.7605704069137573,-0.2604175209999084,-0.6288496851921082,-0.7171118855476379,-0.3439578711986542,-0.2850771844387054,-0.2850771844387054,0.0004442653153091,-0.1020032539963722,-0.1020032539963722,-1.1089695692062378,-0.3720545470714569,-0.3720545470714569
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,p025_39_0.tiff,-0.7919016773158013,6162,78,../../Training_Data/p025/Tiles_156/p025_39_0.tiff,-0.7482866644859314,-0.8051479458808899,-0.8575376272201538,-0.2195257544517517,-0.7662400007247925,-0.7369377613067627,-1.0696041584014893,-0.2401722520589828,-0.2401722520589828,0.0004442653153091,-0.9542977213859558,-0.9542977213859558,-1.089094161987305,-0.4453835785388946,-0.44538357853889465
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,p025_41_0.tiff,-0.7919016773158013,6474,78,../../Training_Data/p025/Tiles_156/p025_41_0.tiff,-0.8078123331069946,-0.614844024181366,-0.6025655269622803,-0.1816293895244598,-0.6196867823600769,-0.8406303524971008,-1.3187047243118286,-0.1733285337686538,-0.1733285337686538,0.0004442653153091,-0.997647762298584,-0.997647762298584,-1.067075252532959,-0.4243664443492889,-0.42436644434928894
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,p025_42_0.tiff,-0.7919016773158013,6630,78,../../Training_Data/p025/Tiles_156/p025_42_0.tiff,-0.8642144203186035,-0.6184459924697876,-0.5979474186897278,-0.2748609483242035,-0.509253740310669,-0.9134666323661804,-1.226893424987793,-0.2830084264278412,-0.2830084264278412,0.0004442653153091,-0.8934502601623535,-0.8934502601623535,-1.187586545944214,-0.3540075719356537,-0.3540075719356537
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,p025_43_0.tiff,-0.7919016773158013,6786,78,../../Training_Data/p025/Tiles_156/p025_43_0.tiff,-0.8719878196716309,-0.3664971888065338,-0.2940571010112762,-0.5799750089645386,-0.5258710384368896,-0.7787626385688782,-1.2131807804107666,-0.6086165904998779,-0.6086165904998779,0.0004442653153091,-1.0605010986328125,-1.0605010986328125,-1.693535089492798,-0.4467442333698272,-0.44674423336982727
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,p025_44_0.tiff,-0.7919016773158013,6942,78,../../Training_Data/p025/Tiles_156/p025_44_0.tiff,-0.8734158277511597,-0.4326604306697845,-0.5781615376472473,-0.2546983659267425,-0.4346600174903869,-0.8566685318946838,-0.8417513370513916,-0.2689184844493866,-0.2689184844493866,0.0004442653153091,-1.193376541137695,-1.193376541137695,-1.4750075340270996,-0.5744621753692627,-0.5744621753692627
