out: -0.4124736189842224, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data//p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data//p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data//p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data//p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data//p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data//p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data//p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data//p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data//p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data//p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data//p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data//p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data//p007/Tiles_156/p007_6_0.tiff
